Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Barbados,Americas,43993,15308.569,4781,1663.68,0,279,97.086,4,1.392,0
Burundi,Africa,37432,314.798,294,2.473,0,15,0.126,1,0.008,0
Papua New Guinea,Western Pacific,37270,416.563,722,8.07,125,597,6.673,0,0,0
Seychelles,Africa,37122,37745.94,1516,1541.481,99,142,144.387,6,6.101,0
Curaçao,Americas,37085,22599.989,1207,735.558,363,229,139.555,13,7.922,4
Togo,Africa,36491,440.78,168,2.029,0,268,3.237,1,0.012,0
Mayotte,Africa,36361,13328.079,395,144.787,79,187,68.545,0,0,0
Guinea,Africa,36012,274.214,155,1.18,0,416,3.168,2,0.015,0
Andorra,Europe,35958,46538.536,2933,3796.027,402,145,187.666,1,1.294,0
Aruba,Americas,32956,30867.505,634,593.822,238,193,180.769,2,1.873,0
United Republic of Tanzania,Africa,32920,55.111,527,0.882,0,778,1.302,25,0.042,0
Bahamas,Americas,32512,8267.64,375,95.361,0,746,189.704,17,4.323,0
Lesotho,Africa,32176,1501.973,127,5.928,0,693,32.349,3,0.14,0
Jersey,Europe,30791,28564.14,2395,2221.789,298,101,93.695,5,4.638,1
Mali,Africa,30053,148.404,310,1.531,7,714,3.526,7,0.035,3
Haiti,Americas,29217,256.233,94,0.824,0,876,7.683,92,0.807,90
Benin,Africa,26450,218.177,141,1.163,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26067,164.013,1745,10.98,679,1335,8.4,0,0,0
Guam,Western Pacific,25617,15178.196,3174,1880.61,0,290,171.826,10,5.925,5
Congo,Africa,23705,429.587,220,3.987,0,371,6.723,0,0,0
Isle of Man,Europe,21320,25072.914,609,716.201,58,71,83.498,1,1.176,0
Saint Lucia,Americas,20942,11404.641,1262,687.263,144,328,178.623,12,6.535,2
Burkina Faso,Africa,20624,98.664,110,0.526,0,366,1.751,13,0.062,0
New Caledonia,Western Pacific,20622,7223.168,4486,1571.289,1843,283,99.125,1,0.35,0
Timor-Leste,South-East Asia,20105,1524.902,234,17.748,159,122,9.253,0,0,0
Faroe Islands,Europe,19625,40161.67,4760,9741.124,526,18,36.836,1,2.046,0
Tajikistan,Europe,17716,185.748,107,1.122,10,125,1.311,0,0,0
South Sudan,Africa,16802,150.102,64,0.572,8,137,1.224,0,0,0
Brunei Darussalam,Western Pacific,16476,3766.124,328,74.975,63,59,13.486,0,0,0
New Zealand,Western Pacific,16245,336.877,935,19.389,205,53,1.099,1,0.021,1
Equatorial Guinea,Africa,15802,1126.313,70,4.989,0,182,12.972,1,0.071,0
Djibouti,Eastern Mediterranean,15464,1565.182,115,11.64,13,189,19.13,0,0,0
United States Virgin Islands,Americas,14870,14239.885,392,375.389,24,101,96.72,4,3.831,2
Central African Republic,Africa,13919,288.192,410,8.489,0,110,2.278,1,0.021,0
Cayman Islands,Americas,13788,20979.915,54,82.167,0,15,22.824,0,0,0
Nicaragua,Americas,13681,206.52,35,0.528,0,220,3.321,1,0.015,0
Gibraltar,Europe,12950,38437.565,1013,3006.738,102,101,299.783,1,2.968,1
San Marino,Europe,12883,37960.398,1084,3194.06,10,109,321.174,1,2.947,0
Grenada,Americas,12336,10963.092,992,881.598,25,210,186.629,5,4.444,0
Gambia,Africa,11863,490.882,291,12.041,21,364,15.062,17,0.703,2
Guernsey,Europe,11261,17467.581,504,781.783,68,30,46.535,0,0,0
Yemen,Eastern Mediterranean,11061,37.085,476,1.596,42,2012,6.746,17,0.057,1
Greenland,Europe,10707,18859.649,884,1557.106,45,6,10.569,2,3.523,1
Bermuda,Americas,10552,16944.743,786,1262.184,0,116,186.277,4,6.423,0
Eritrea,Africa,9536,268.891,204,5.752,11,98,2.763,3,0.085,0
Saint Martin,Americas,9433,24400.528,520,1345.094,0,42,108.642,1,2.587,0
Sint Maarten,Americas,9285,21652.442,209,487.384,56,79,184.226,1,2.332,0
Liechtenstein,Europe,9035,23317.934,631,1628.513,0,70,180.659,0,0,0
Dominica,Americas,9032,12546.013,515,715.367,0,51,70.842,2,2.778,0
Niger,Africa,8649,35.73,57,0.235,0,298,1.231,2,0.008,0
Monaco,Europe,8359,21300.071,668,1702.171,51,47,119.764,1,2.548,0
Saint Vincent and the Grenadines,Americas,7929,7147.107,157,141.518,26,94,84.73,2,1.803,1
Comoros,Africa,7827,900.068,15,1.725,0,159,18.284,0,0,0
Sierra Leone,Africa,7622,95.55,32,0.401,14,125,1.567,0,0,0
Guinea-Bissau,Africa,7586,385.467,293,14.888,0,156,7.927,3,0.152,0
Liberia,Africa,7254,143.425,11,0.217,0,290,5.734,1,0.02,0
Chad,Africa,7075,43.072,0,0,0,190,1.157,0,0,0
Antigua and Barbuda,Americas,6627,6767.148,696,710.719,69,127,129.686,5,5.106,0
Bonaire,Americas,6446,30819.986,477,2280.66,120,27,129.094,1,4.781,1
Sao Tome and Principe,Africa,5890,2687.546,54,24.64,5,69,31.484,0,0,0
British Virgin Islands,Americas,5875,19429.838,226,747.429,0,49,162.053,2,6.614,0
Turks and Caicos Islands,Americas,5727,14791.57,157,405.496,0,34,87.814,0,0,0
Saint Kitts and Nevis,Americas,5422,10193.262,152,285.757,3,33,62.039,5,9.4,0
Bhutan,South-East Asia,5203,674.306,1252,162.259,312,4,0.518,1,0.13,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,4908,8527.199,643,1117.153,44,23,39.96,1,1.737,0
Saint Barthélemy,Americas,3427,34668.69,209,2114.315,0,4,40.465,0,0,0
Anguilla,Americas,2361,15737.902,174,1159.845,37,8,53.326,1,6.666,0
Palau,Western Pacific,1682,9296.927,1031,5698.651,155,0,0,0,0,0
Solomon Islands,Western Pacific,1486,216.339,984,143.256,303,12,1.747,11,1.601,3
Saint Pierre and Miquelon,Americas,828,14288.179,390,6729.94,200,1,17.256,1,17.256,1
Other,Other,764,,0,,0,13,,0,,0
Kiribati,Western Pacific,460,385.102,394,329.848,96,0,0,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Sint Eustatius,Americas,352,11213.762,70,2230.01,27,1,31.857,0,0,0
Saba,Americas,199,10294.878,0,0,0,0,0,0,0,0
Montserrat,Americas,163,3260.652,8,160.032,0,1,20.004,0,0,0
Falkland Islands (Malvinas),Americas,89,2555.268,3,86.133,0,0,0,0,0,0
Samoa,Western Pacific,32,16.128,10,5.04,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,18,32.61,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,7,2.279,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
